iter	Passed	Remaining
0	4	4503
1	10	5012
2	14	4735
3	18	4536
4	22	4463
5	25	4277
6	30	4327
7	34	4332
8	38	4241
9	44	4386
10	48	4403
11	53	4427
12	57	4334
13	62	4397
14	66	4384
15	70	4307
16	75	4361
17	79	4345
18	83	4292
19	89	4393
20	94	4393
21	99	4416
22	102	4352
23	107	4387
24	111	4354
25	116	4380
26	123	4443
27	127	4441
28	132	4449
29	137	4430
30	142	4464
31	146	4426
32	150	4409
33	156	4433
34	159	4408
35	164	4405
36	168	4391
37	174	4416
38	177	4372
39	182	4391
40	186	4368
41	190	4338
42	198	4417
43	202	4403
44	207	4400
45	212	4405
46	218	4433
47	222	4416
48	228	4443
49	234	4459
50	239	4456
51	245	4483
52	250	4480
53	254	4459
54	262	4504
55	267	4510
56	274	4533
57	280	4550
58	284	4543
59	290	4548
60	295	4545
61	299	4527
62	304	4535
63	310	4537
64	316	4546
65	321	4546
66	326	4544
67	330	4535
68	335	4526
69	339	4513
70	344	4501
71	351	4536
72	357	4535
73	360	4512
74	364	4490
75	370	4508
76	375	4497
77	379	4489
78	386	4505
79	389	4480
80	395	4483
81	399	4469
82	405	4480
83	409	4470
84	414	4466
85	418	4451
86	424	4450
87	428	4445
88	433	4433
89	436	4415
90	440	4398
91	447	4415
92	450	4398
93	456	4396
94	461	4399
95	465	4383
96	475	4426
97	479	4409
98	484	4407
99	488	4399
100	494	4397
101	496	4375
102	503	4387
103	507	4370
104	510	4349
105	515	4350
106	522	4363
107	528	4362
108	532	4354
109	550	4456
110	566	4538
111	575	4566
112	587	4613
113	593	4612
114	599	4613
115	607	4631
116	620	4682
117	628	4701
118	637	4718
119	640	4698
120	644	4680
121	651	4688
122	655	4676
123	659	4656
124	663	4644
125	668	4635
126	674	4635
127	678	4619
128	684	4623
129	689	4613
130	693	4603
131	698	4596
132	703	4585
133	707	4570
134	710	4555
135	715	4545
136	720	4537
137	723	4521
138	728	4513
139	733	4503
140	737	4491
141	744	4496
142	751	4503
143	757	4500
144	767	4522
145	774	4527
146	779	4522
147	785	4520
148	789	4509
149	796	4510
150	799	4497
151	807	4502
152	812	4500
153	816	4487
154	821	4478
155	826	4471
156	831	4463
157	835	4452
158	841	4449
159	845	4436
160	851	4436
161	857	4434
162	861	4424
163	865	4410
164	870	4406
165	874	4395
166	878	4383
167	882	4369
168	886	4361
169	890	4348
170	894	4338
171	898	4327
172	904	4323
173	907	4309
174	912	4299
175	915	4288
176	920	4280
177	923	4266
178	927	4252
179	932	4245
180	937	4243
181	944	4245
182	951	4247
183	956	4241
184	961	4234
185	965	4226
186	969	4215
187	974	4210
188	979	4203
189	983	4190
190	987	4182
191	992	4174
192	997	4170
193	1001	4160
194	1006	4156
195	1011	4148
196	1016	4144
197	1022	4143
198	1027	4134
199	1032	4130
200	1038	4127
201	1041	4115
202	1046	4109
203	1051	4101
204	1057	4099
205	1060	4089
206	1065	4080
207	1070	4076
208	1075	4071
209	1079	4062
210	1084	4054
211	1091	4055
212	1097	4053
213	1105	4058
214	1114	4069
215	1124	4080
216	1131	4081
217	1136	4078
218	1145	4083
219	1151	4083
220	1158	4082
221	1180	4136
222	1196	4169
223	1201	4162
224	1212	4176
225	1225	4198
226	1232	4196
227	1238	4193
228	1242	4182
229	1247	4176
230	1253	4174
231	1258	4167
232	1264	4161
233	1271	4161
234	1276	4156
235	1280	4144
236	1285	4137
237	1289	4129
238	1294	4122
239	1299	4115
240	1303	4106
241	1307	4096
242	1312	4087
243	1316	4080
244	1322	4074
245	1327	4067
246	1332	4062
247	1337	4055
248	1341	4047
249	1345	4037
250	1351	4034
251	1358	4031
252	1363	4025
253	1367	4016
254	1370	4003
255	1374	3994
256	1378	3986
257	1382	3976
258	1386	3966
259	1390	3956
260	1394	3949
261	1398	3939
262	1401	3928
263	1406	3920
264	1409	3909
265	1413	3900
266	1418	3894
267	1424	3890
268	1430	3886
269	1434	3878
270	1441	3876
271	1445	3868
272	1450	3861
273	1454	3853
274	1459	3848
275	1464	3841
276	1468	3833
277	1472	3825
278	1476	3816
279	1480	3807
280	1486	3804
281	1490	3794
282	1494	3787
283	1501	3784
284	1506	3778
285	1510	3771
286	1516	3766
287	1519	3757
288	1523	3747
289	1526	3737
290	1530	3729
291	1534	3721
292	1538	3713
293	1543	3707
294	1548	3700
295	1552	3691
296	1556	3683
297	1560	3676
298	1563	3666
299	1567	3657
300	1571	3649
301	1576	3643
302	1580	3635
303	1584	3628
304	1592	3627
305	1596	3620
306	1600	3613
307	1606	3610
308	1611	3602
309	1615	3594
310	1620	3589
311	1624	3582
312	1628	3573
313	1631	3564
314	1635	3556
315	1639	3547
316	1642	3539
317	1648	3535
318	1653	3529
319	1657	3522
320	1661	3514
321	1667	3510
322	1672	3504
323	1676	3497
324	1681	3491
325	1687	3487
326	1694	3487
327	1700	3483
328	1704	3476
329	1709	3469
330	1714	3464
331	1717	3456
332	1723	3451
333	1730	3450
334	1735	3444
335	1738	3436
336	1743	3431
337	1748	3423
338	1753	3419
339	1758	3414
340	1762	3406
341	1768	3401
342	1772	3394
343	1778	3390
344	1781	3382
345	1787	3378
346	1792	3372
347	1796	3365
348	1802	3361
349	1806	3354
350	1810	3347
351	1815	3341
352	1821	3338
353	1825	3331
354	1831	3327
355	1836	3322
356	1842	3319
357	1851	3320
358	1859	3319
359	1864	3314
360	1868	3307
361	1874	3303
362	1883	3304
363	1889	3301
364	1895	3297
365	1900	3292
366	1907	3289
367	1911	3282
368	1918	3279
369	1921	3271
370	1926	3266
371	1932	3261
372	1935	3253
373	1942	3251
374	1946	3244
375	1951	3239
376	1956	3232
377	1965	3234
378	1970	3228
379	1974	3221
380	1978	3213
381	1983	3208
382	1989	3204
383	1993	3197
384	1996	3189
385	2002	3185
386	2008	3181
387	2014	3178
388	2019	3171
389	2023	3164
390	2029	3160
391	2034	3155
392	2037	3147
393	2041	3140
394	2046	3134
395	2051	3129
396	2055	3122
397	2065	3123
398	2070	3119
399	2083	3125
400	2092	3125
401	2103	3128
402	2111	3128
403	2123	3132
404	2131	3130
405	2142	3134
406	2153	3137
407	2164	3140
408	2170	3136
409	2179	3136
410	2193	3143
411	2205	3147
412	2214	3148
413	2221	3143
414	2232	3146
415	2239	3144
416	2244	3137
417	2248	3131
418	2256	3128
419	2260	3121
420	2266	3117
421	2275	3117
422	2279	3109
423	2287	3106
424	2292	3101
425	2297	3096
426	2302	3089
427	2311	3089
428	2324	3093
429	2332	3092
430	2350	3103
431	2358	3100
432	2367	3100
433	2371	3092
434	2380	3092
435	2389	3091
436	2394	3084
437	2399	3079
438	2403	3070
439	2407	3063
440	2412	3057
441	2416	3050
442	2423	3047
443	2427	3040
444	2432	3033
445	2438	3029
446	2445	3025
447	2450	3019
448	2456	3014
449	2462	3009
450	2466	3003
451	2472	2997
452	2476	2990
453	2482	2985
454	2487	2979
455	2491	2972
456	2497	2967
457	2502	2961
458	2505	2953
459	2509	2946
460	2514	2939
461	2520	2934
462	2524	2928
463	2532	2925
464	2539	2921
465	2544	2915
466	2549	2910
467	2553	2903
468	2558	2896
469	2565	2892
470	2568	2885
471	2574	2880
472	2579	2873
473	2584	2867
474	2588	2861
475	2595	2857
476	2600	2851
477	2605	2845
478	2612	2841
479	2621	2840
480	2628	2835
481	2634	2831
482	2641	2827
483	2647	2822
484	2654	2818
485	2659	2812
486	2667	2809
487	2673	2805
488	2685	2805
489	2691	2801
490	2700	2799
491	2706	2794
492	2711	2788
493	2717	2784
494	2726	2781
495	2732	2776
496	2737	2771
497	2748	2770
498	2752	2763
499	2757	2757
500	2762	2751
501	2766	2744
502	2770	2737
503	2774	2730
504	2779	2724
505	2783	2717
506	2787	2710
507	2793	2705
508	2797	2698
509	2804	2694
510	2809	2688
511	2815	2683
512	2820	2677
513	2825	2671
514	2832	2667
515	2839	2663
516	2844	2657
517	2848	2650
518	2854	2645
519	2859	2639
520	2866	2635
521	2871	2629
522	2876	2623
523	2881	2617
524	2888	2613
525	2892	2606
526	2898	2601
527	2903	2595
528	2908	2589
529	2914	2584
530	2918	2577
531	2922	2571
532	2927	2565
533	2934	2560
534	2938	2553
535	2945	2549
536	2949	2543
537	2955	2538
538	2960	2531
539	2965	2526
540	2969	2519
541	2977	2516
542	2981	2509
543	2988	2504
544	2993	2499
545	2999	2494
546	3003	2487
547	3009	2482
548	3014	2476
549	3021	2472
550	3026	2466
551	3032	2460
552	3036	2454
553	3039	2447
554	3044	2440
555	3048	2434
556	3052	2427
557	3056	2421
558	3061	2415
559	3065	2408
560	3070	2402
561	3075	2396
562	3080	2391
563	3087	2386
564	3093	2382
565	3101	2378
566	3111	2375
567	3119	2372
568	3129	2370
569	3136	2366
570	3147	2364
571	3156	2361
572	3167	2360
573	3175	2357
574	3183	2353
575	3190	2348
576	3194	2341
577	3199	2335
578	3202	2328
579	3208	2323
580	3213	2317
581	3220	2312
582	3225	2306
583	3232	2302
584	3237	2296
585	3242	2290
586	3252	2288
587	3259	2283
588	3269	2281
589	3275	2276
590	3280	2270
591	3292	2269
592	3296	2262
593	3307	2260
594	3311	2253
595	3317	2248
596	3326	2245
597	3334	2241
598	3346	2240
599	3354	2236
600	3358	2229
601	3367	2226
602	3373	2220
603	3378	2214
604	3385	2210
605	3390	2204
606	3398	2200
607	3403	2194
608	3407	2187
609	3412	2181
610	3417	2175
611	3420	2168
612	3425	2162
613	3429	2156
614	3435	2150
615	3438	2143
616	3446	2139
617	3450	2133
618	3457	2128
619	3461	2121
620	3465	2114
621	3470	2109
622	3475	2103
623	3481	2097
624	3486	2091
625	3493	2087
626	3497	2080
627	3503	2075
628	3507	2068
629	3511	2062
630	3517	2057
631	3523	2051
632	3527	2045
633	3534	2040
634	3539	2034
635	3546	2029
636	3551	2023
637	3554	2016
638	3558	2010
639	3562	2003
640	3568	1998
